size,mean,std
200,78.43154296875,0.2041241452319306
400,79.89404296875,0.0
600,84.6806640625,0.0
800,99.92236328125,0.0
1000,119.3720703125,0.0
1200,138.2529296875,0.0
1400,153.736328125,0.0
1600,166.5478515625,0.0
1800,186.326171875,0.0
2000,202.49072265625,0.0
2200,221.5029296875,0.0
2400,235.18896484375,0.0
2600,255.8017578125,0.0
2800,273.3095703125,0.0
3000,289.20751953125,0.0
