size,mean,std
200,19.277639389038086,0.440230488687189
400,22.769994735717773,0.1326263310294788
600,27.132596969604492,0.43239623281879264
800,35.008487701416016,0.5057148456328879
1000,38.82761001586914,0.19582609329282238
1200,43.52856636047363,0.3516126207471766
1400,47.57363319396973,0.17210137031512443
1600,52.43420600891113,0.4149590724438681
1800,59.00407791137695,0.3659929268269399
2000,63.30984115600586,0.3432482988036848
2200,67.30649948120117,0.5699663956152812
2400,70.79345703125,0.623529042625068
2600,75.79791069030762,0.5601693990545333
2800,77.4593448638916,0.32880114461974513
3000,82.56723403930664,0.3512296263215681
