size,mean,std
200,39.687137603759766,0.18497165436268012
400,43.23883056640625,0.1730719506478119
600,47.30813980102539,0.14411021829805842
800,55.78333854675293,0.21804970978105956
1000,60.17420768737793,0.2541596748003302
1200,65.19660949707031,0.2602688622708006
1400,69.41577911376953,0.2581350784500844
1600,73.60212326049805,0.24719059911253766
1800,77.7586841583252,0.29552724285758153
2000,81.71088218688965,0.3177581660728555
2200,85.7090950012207,0.28971092510494806
2400,92.79696464538574,1.8292194163371343
2600,96.0306453704834,0.7992701786275456
2800,99.91414070129395,0.6626461774506589
3000,104.66785430908203,0.9409165688446618
