200,11.311635739
400,11.311635739
600,22.624431955
800,22.624431955
1000,22.624431955
1200,33.937221144
1400,33.937221144
1600,33.937221144
1800,45.250013533
2000,45.250013533
2200,45.250013533
2400,56.562771501
2600,56.562771501
2800,56.562771501
3000,67.875628024
