Seed,Seed Number,Lowest Time,Highest Time
1,4241261284,1676.5191650390625,6829.952943325043
2,2196100728,1403.3024287223816,3391.909024953842
3,1890014188,1275.8151259422302,3720.927477121353
4,3718461004,1216.560866355896,5310.945845603943
5,3714286883,3979.410285949707,6113.06751704216
