Percentage,Average mAP,Standard Deviation
0.1,31.708000000000002,1.465680729217657
0.2,53.844,3.8212340938497875
0.4,71.698,1.9572863868121106
0.6,77.938,0.8898988706589078
0.8,81.256,1.0141646809073928
1.0,82.592,0.606605308252408
