Percentage,Average mAP,Standard Deviation
0.1,25.736,1.3357132925893944
0.2,48.464,4.119129762461967
0.4,66.748,1.9070579435350115
0.6,73.286,1.0082559198933563
0.8,76.828,1.0518887773904588
1.0,78.398,0.34186254547697953
